SYMBOL	ALIAS	HGNC	ENTREZ
A1BG	A1BG	5	1
A1BG-AS1	FLJ23569	37133	503538
A1BG-AS1	NCRNA00181	37133	503538
A1BG-AS1	A1BGAS	37133	503538
A1BG-AS1	A1BG-AS	37133	503538
A1BG-AS1	A1BG-AS1	37133	503538
A1CF	ACF	24086	29974
A1CF	ACF64	24086	29974
A1CF	ACF65	24086	29974
A1CF	APOBEC1CF	24086	29974
A1CF	A1CF	24086	29974
A2M	FWP007	7	2
A2M	S863-7	7	2
A2M	CPAMD5	7	2
A2M	A2M	7	2
A2M-AS1	A2M-AS1	27057	144571
A2ML1	FLJ25179	23336	144568
A2ML1	p170	23336	144568
A2ML1	CPAMD9	23336	144568
A2ML1	A2ML1	23336	144568
A2ML1-AS1	A2ML1-AS1	41022	100874108
A2ML1-AS2	A2ML1-AS2	41523	106478979
A2MP1	A2MP	8	3
A2MP1	A2MP1	8	3
A3GALT2	IGBS3S	30005	127550
A3GALT2	IGB3S	30005	127550
A3GALT2	A3GALT2P	30005	127550
A3GALT2	A3GALT2	30005	127550
A4GALT	A14GALT	18149	53947
A4GALT	Gb3S	18149	53947
A4GALT	P(k)	18149	53947
A4GALT	A4GALT	18149	53947
A4GNT	alpha4GnT	17968	51146
A4GNT	A4GNT	17968	51146
AAAS	AAAS	13666	8086
AACS	FLJ12389	21298	65985
AACS	SUR-5	21298	65985
AACS	ACSF1	21298	65985
AACS	AACS	21298	65985
AACSP1	AACSL	18226	729522
AACSP1	AACSP1	18226	729522
AADAC	DAC	17	13
AADAC	CES5A1	17	13
AADAC	AADAC	17	13
AADACL2	MGC72001	24427	344752
AADACL2	AADACL2	24427	344752
AADACL2-AS1	AADACL2-AS1	50301	101928142
AADACL3	OTTHUMG00000001887	32037	126767
AADACL3	AADACL3	32037	126767
AADACL4	OTTHUMG00000001889	32038	343066
AADACL4	AADACL4	32038	343066
AADACP1	AADACP1	50305	201651
AADAT	KATII	17929	51166
AADAT	KAT2	17929	51166
AADAT	KYAT2	17929	51166
AADAT	AADAT	17929	51166
AAGAB	FLJ11506	25662	79719
AAGAB	AAGAB	25662	79719
AAK1	KIAA1048	19679	22848
AAK1	DKFZp686K16132	19679	22848
AAK1	AAK1	19679	22848
AAMDC	PTD015	30205	28971
AAMDC	FLJ21035	30205	28971
AAMDC	CK067	30205	28971
AAMDC	C11orf67	30205	28971
AAMDC	AAMDC	30205	28971
AAMP	AAMP	18	14
AANAT	SNAT	19	15
AANAT	AANAT	19	15
AAR2	bA234K24.2	15886	25980
AAR2	C20orf4	15886	25980
AAR2	AAR2	15886	25980
AARD	LOC441376	33842	441376
AARD	C8orf85	33842	441376
AARD	AARD	33842	441376
AARS1	CMT2N	20	16
AARS1	AlaRS	20	16
AARS1	AARS	20	16
AARS1	AARS1	20	16
AARS1P1	AARSP1	49894	106480683
AARS1P1	AARS1P1	49894	106480683
AARS2	KIAA1270	21022	57505
AARS2	bA444E17.1	21022	57505
AARS2	AARSL	21022	57505
AARS2	AARS2	21022	57505
AARSD1	MGC2744	28417	80755
AARSD1	AlaXp	28417	80755
AARSD1	AARSD1	28417	80755
AARSD1P1	AARSD1P1	54994	117981788
AASDH	NRPS998	23993	132949
AASDH	LYS2	23993	132949
